english_page_header,english_full_lyrics,chinese_trad_title--header,chinese_trad_lyrics--whole
"Hymn 11 - I Rejoice, for Jesus Walketh by My Side","I rejoice, for Jesus walketh by my side,
In His presence peace and happiness abide,
Hallelujah! Hallelujah!
In His presence peace and happiness abide.

To the fount of living waters He will guide,
For His bounteous blessings leave me satisfied,
Hallelujah! Hallelujah!
For His bounteous blessings leave me satisfied.

May I praise Him all the passing of my days,
And forever strive to follow in His ways,
Hallelujah! Hallelujah!
And forever strive to follow in His ways.

He has promised He will lead me all the way,
From God’s holy house I’ll never go astray,
Hallelujah! Hallelujah!
From God’s holy house I’ll never go astray.",第 11 首 - 在主內頂快樂,"我在耶穌身邊，快樂，頂快樂！
我和衪一同走，心裡頂知足！
哈利路亞，哈利路亞！
我和衪一同走，心裡頂知足！

我在生命河邊，可喝生命水，
常蒙耶穌賜福，心裡好滿足！
哈利路亞，哈利路亞！
常蒙耶穌賜福，心裡好滿足！

我心要讚美主，醫好我疾病，
我也要感謝主，和我靈相通；
哈利路亞，哈利路亞！
我也要感謝主，和我靈相通。

我已得主應許，要領攏總路，
盼望將來能到天國好地方；
哈利路亞，哈利路亞！
盼望將來能到天國好地方。"
Hymn 12 - When I Can Read My Title Clear,"When I can read my title clear, To mansions in the skies,
I’ll bid farewell to ev’ry fear, And wipe my weeping eyes;
And wipe my weeping eyes, And wipe my weeping eyes,
I’ll bid farewell to ev’ry fear, And wipe my weeping eyes.

Should earth against my soul engage, And fiery darts be hurled,
Then I can smile at Satan’s rage, And face a frowning world;
And face a frowning world, And face a frowning world,
Then I can smile at Satan’s rage, And face a frowning world.

Let cares, like a wild deluge come, And storms of sorrow fall!
May I but safely reach my home, My God, my heav’n, my all;
My God, my heav’n, my all, My God, my heav’n, my all,
May I but safely reach my home, My God, my heav’n, my all.

There shall I bathe my weary soul, In seas of heav’nly rest,
And not a wave of trouble roll, Across my peaceful breast;
Across my peaceful breast, Across my peaceful breast,
And not a wave of trouble roll, Across my peaceful breast.",第 12 首 - 耶穌尊名,"耶穌尊名入我耳中，好像和諧美妙樂聲；
願傳此名，音大聲洪，天上、地下都聽。

耶穌尊名至高、至榮，超乎世間古今萬名；
醫我疾病，使我得福，權能永遠常新。

耶穌尊名至寶、至美，世間珠寶黃金難比；
赦我罪愆，使我得生，萬民所望、所倚。

耶穌尊名至善、至聖，好比園中蘭桂清香；
能解世間苦楚、愁悶，使我免去心傷。

副歌
美哉，大哉，耶穌我主﹗
創造、救贖，權能無比；
離去天上，降生世間，捨身替我受死。"
"Hymn 13 - No, Not One","There’s not a friend like the lowly Jesus, No, not one! No, not one!
None else could heal all our souls’ diseases, No, not one! No, not one!

No friend like Him is so high and holy, No, not one! No, not one!
And yet no friend is so meek and lowly, No, not one! No, not one!

There’s not an hour that He is not near us, No, not one! No, not one!
No night so dark but His love can cheer us, No, not one! No, not one!

Was e’er a gift like the Savior given? No, not one! No, not one!
Will He refuse us a home in heaven? No, not one! No, not one!

REFRAIN
Jesus knows all about our struggles, He will guide till the day is done;
There’s not a friend like the lowly Jesus, No, not one! No, not one!",第 13 首 - 無人能比耶穌,"沒有人能比全能的耶穌，
沒有人，沒有人；
沒有人能醫我靈魂疾病，
沒有人，沒有人。

沒有人能比我主的聖潔，
沒有人，沒有人；
沒有人能比主柔和、謙卑，
沒有人，沒有人。

沒有人能比我主的慈愛，
沒有人，沒有人；
有何罪人信主不蒙赦免？
沒有人，沒有人。

沒有人能比我主的犧牲，
沒有人，沒有人；
有何罪人信主不得永生？
沒有人，沒有人。

副歌
主耶穌全能、全智、全愛，
祂終日肯與我相親；
沒有人能比完全的耶穌，
沒有人，沒有人。"
"Hymn 14 - Welcome, Delightful Morn","Welcome, delightful morn, Thou day of sacred rest!
I hail thy kind return; Lord, make these moments blest:
From the low plane of mortal toys,
I soar to reach immortal joys, I soar to reach immortal joys.

Now may the King descend, And fill His throne with grace;
Thy scepter, Lord, extends, While saints address Thy face;
Let sinners feel Thy quick’ning word, 
And learn to know and fear the Lord, And learn to know and fear the Lord.

Descend, celestial Dove, With all Thy quick’ning powers;
Disclose a Saviour’s love, And bless the sacred hours:
Then shall my soul new life obtain,
Nor Sabbaths be enjoyed in vain, Nor Sabbaths be enjoyed in vain.",第 14 首 - 萬王之王,"基督萬王之王，為人苦味先嘗；
現在登上寶座，應受讚美頌揚。

基督萬王之王，為我復活盼望；
因祂直活永遠，勝過陰間死亡。

基督萬王之王，照亮世界真光；
聖靈已經降臨，真道必快傳揚。

基督萬王之王，揭開七印秘藏；
榮耀、尊貴、智慧，歸與被殺羔羊。

副歌
禧年已到，聖靈大降，
禧年已到，聖靈大降；
復活之人，福樂無疆。"
Hymn 15 - Ye Servants of God,"Ye servants of God, your Master proclaim,
And publish abroad His wonderful name;
The name all victorious of Jesus extol;
His kingdom is glorious, He rules over all.

God ruleth on high, almighty to save,
And still He is nigh, His presence we have;
The great congregation His triumph shall sing,
Ascribing salvation to Jesus our King.

“Salvation to God, who sits on the throne,”
Let all cry aloud, and honor the Son;
The praises of Jesus the angels proclaim,
Fall down on their faces, and worship the Lamb.

Then let us adore, and give Him His right,
All glory and power, all wisdom and might,
All honor and blessing, with angels above,
And thanks never ceasing, for infinite love.",第 15 首 - 頌讚耶穌,"真神的子民，當頌主權能，
各處大傳揚，使真道通行；
頌讚主耶穌，主尊名常得勝，
主國極榮耀，主威權管萬姓。

耶穌自天上，有力能救人，
常在萬民中，顯出其慈仁；
會眾都歡喜，大聲稱主至高，
一概將尊貴，歸與寶座聖羔。

靠主的救恩，使我得重生，
稱頌主耶穌，永遠大尊榮；
在上諸天使，頌耶穌真慈愛，
他們皆俯伏，向聖羔常跪拜。

我們也叩首，崇敬主聖名，
全能與全智，全德及全仁；
有威又有權，與天使齊讚美；
主恩真無窮，我感謝永無已。"
Hymn 16 - All Hail the Power of Jesus’ Name,"All hail the pow’r of Jesus’ name! Let angels prostrate fall;
Bring forth the royal diadem, And crown Him Lord of all;
Bring forth the royal diadem, And crown Him Lord of all.

Ye chosen seed of Israel’s race, Ye ransomed from the fall,
Hail Him who saves you by His grace, And crown Him Lord of all;
Hail Him who saves you by His grace, And crown Him Lord of all.

Let ev’ry kindred, ev’ry tribe, On this terrestrial ball,
To Him all majesty ascribe, And crown Him Lord of all;
To Him all majesty ascribe, And crown Him Lord of all.

O that with yonder sacred throng We at His feet may fall!
We’ll join the everlasting song, And crown Him Lord of all;
We’ll join the everlasting song, And crown Him Lord of all.",第 16 首 - 敬拜天地主宰,"耶穌聖名，普天崇敬，天使一同跪拜，
奉獻冠冕，大家行禮，尊祂天地主宰，
奉獻冠冕，大家行禮，尊祂天地主宰。

吾人蒙恩，免墜永火，顯明主心慈愛，
頌揚耶穌世人救主，稱祂天地主宰，
頌揚耶穌世人救主，稱祂天地主宰。

世人都是主所創造，一本生出萬代，
都當崇拜耶穌基督，敬祂天地主宰，
都當崇拜耶穌基督，敬祂天地主宰。

現在聖徒早晚聚集，齊向耶穌下拜，
同聲唱詩，同心歡樂，讚祂天地主宰，
同聲唱詩，同心歡樂，讚祂天地主宰。"
Hymn 17 - The Half Has Never Been Told,"I know I love Thee better, Lord, Than any earthly joy;
For Thou hast given me the peace Which nothing can destroy.

I know that Thou art nearer still Than any earthly throng;
And sweeter is the thought of Thee Than any lovely song.

Thou hast put gladness in my heart; Then may I well be glad!
Without the secret of Thy love I could not but be sad.

O Saviour, precious Saviour mine! What will Thy presence be,
If such a life of joy can crown Our walk on earth with Thee?

REFRAIN
The half has never yet been told, Of love so full and free!
The half has never yet been told, The blood, it cleanseth me!",第 17 首 - 頌讚主慈愛,"我深知道耶穌慈愛，勝過世上一切；
因衪捨命救我靈魂，平安永遠不絕。

我深知道耶穌慈愛，足解我心憂悶；
主既使我時常安樂，我當感謝頌讚。

我深知道寄居世間，雖有試驗、艱難；
一想主愛永不隔絕，何等快樂、平安。

副歌
耶穌慈愛，我難計算，永遠繼續不斷；
耶穌慈愛，我難計算，只有常常頌讚。"
Hymn 18 - When We All Get to Heaven,"Sing the wondrous love of Jesus, Sing His mercy and His grace;
In the mansions bright and blessed, He’ll prepare for us a place.

While we walk the pilgrim pathway, Clouds will overspread the sky;
But when trav’ling days are over, Not a shadow, not a sigh.

Let us then be true and faithful, Trusting, serving ev’ry day;
Just one glimpse of Him in glory Will the toils of life repay.

Onward to the prize before us! Soon His beauty we’ll behold;
Soon the pearly gates will open; We shall tread the streets of gold.

REFRAIN
When we all get to heaven, What a day of rejoicing that will be!
When we all see Jesus, We’ll sing and shout the victory.",第 18 首 - 歌頌主恩,"歌頌耶穌權能、仁愛，天國恩門為我開；
在那光明榮耀福地，主備安宅要再來。

我們在世如同客旅，滿天黑雲遮前途；
等歸天家榮華美地，就無歎息和憂苦。

我們應當堅心忍耐，日日殷勤做主工；
儆醒預備，等主再臨，一同被接於空中。

副歌
我們都要回天家，今思想那日樂無涯；
我們要與主同住，頌主恩，永遠享榮華。"
Hymn 19 - Thine Is the Glory,"Thine is the glory, Risen, conqu’ring Son;
Endless is the vict’ry Thou o’er death hast won.
Angels in bright raiment Rolled the stone away,
Kept the folded grave clothes Where Thy body lay.

Lo! Jesus meets us, Risen from the tomb;
Lovingly He greets us, Scatters fear and gloom;
Let His church with gladness Hymns of triumph sing,
For her Lord now liveth; Death hath lost its sting.

No more we doubt Thee, Glorious Prince of life!
Life is naught without Thee; Aid us in our strife;
Make us more than conqu’rors, Through Thy deathless love;
Bring us safe through Jordan To Thy home above.

REFRAIN
Thine is the glory, Risen, conqu'ring Son;
Endless is the vict’ry Thou o’er death hast won.",第 19 首 - 和散那,"大家同歡喜，高聲齊讚美，跟從主的百姓，錫安眾子女；
天上至大君王，和平的救主，此時騎著驢駒，來臨極威儀。
大家同歡喜，高聲齊讚美，跟從主的百姓，錫安眾子女。

天父眾子民，有極大福氣，和散那，和散那，歸大衛後裔！
昔日主所應許，榮耀快樂地，現在已經臨到，普世永不移。
天父眾子民，有極大福氣，和散那，和散那，歸大衛後裔！

萬眾同歡迎，榮耀的仁君，和散那，和散那，歸大衛子孫！
天上威嚴寶座，永遠得榮尊，地上平安、恩典，歸主愛的人。
萬眾同歡迎，榮耀的仁君，和散那，和散那，歸大衛子孫！"
Hymn 20 - All Hail the Power of Jesus’ Name,"All hail the power of Jesus’ name! 
Let angels prostrate fall, 
Let angels prostrate fall;
Bring forth the royal diadem, 
And crown Him, 
crown Him, crown Him, crown Him, 
And crown Him Lord of all.

Ye chosen seed of Israel’s race, 
Ye ransomed from the fall, 
Ye ransomed from the fall;
Hail Him who saves you by His grace, 
And crown Him, 
crown Him, crown Him, crown Him, 
And crown Him Lord of all.

Let ev’ry kindred, ev’ry tribe,
On this terrestrial ball,
On this terrestrial ball,
To Him all majesty ascribe,
And crown Him,
crown Him, crown Him, crown Him,
And crown Him Lord of all.

O that with yonder sacred throng
We at His feet may fall,
We at His feet may fall!
We’ll join the everlasting song,
And crown Him,
crown Him, crown Him, crown Him,
And crown Him Lord of all.",第 20 首 - 尊主為王,"大哉，聖哉，耶穌聖名！天上萬軍頌揚，
天上萬軍頌揚；奉獻冠冕，極其榮光；歌頌衪，
歌頌！歌頌！歌頌衪，歌頌衪為君王！

天上、地下，主名至上，應該敬畏、頌揚，
應該敬畏頌揚；萬膝跪拜，萬口歌唱；歌頌衪，
歌頌！歌頌！歌頌衪，歌頌衪為君王！

尊貴、榮耀、智慧、力量，都歸被殺羔羊，
都歸被殺羔羊；聖徒、天使，讚美無疆；歌頌衪，
歌頌！歌頌！歌頌衪，歌頌衪永為王！"
Hymn 21 - Fairest Lord Jesus,"Fairest Lord Jesus,
Ruler of all nature,
O Thou of God and man the Son;
Thee will I cherish,
Thee will I honor,
Thou, my soul’s glory, joy, and crown.

Fair are the meadows,
Fairer still the woodlands,
Robed in the blooming garb of spring;
Jesus is fairer,
Jesus is purer,
Who makes the woeful heart to sing.

Fair is the sunshine,
Fairer still the moonlight
And all the twinkling, starry host;
Jesus shines brighter,
Jesus shines purer
Than all the angels heav’n can boast.

Beautiful Saviour,
Lord of all nations,
Son of God and Son of man!
Glory and honor,
Praise, adoration,
Now and forevermore be Thine!",第 21 首 - 美哉，主耶穌!,"美哉，主耶穌！統治萬有群生！
主宰真神，道成肉身，
謙卑為人子，捨命救萬民。
我當如何思念主恩？

美哉，主耶穌！勝春花沾露美！
悅我心靈，時常歡喜；
美哉，中秋月！明亮又清妍！
耶穌榮光更皎在天！

美哉，主耶穌！勝夏夜涼風爽！
透我心靈，時常歡暢；
美哉，冬季雪！遍地白皚皚！
主更聖潔，感我心懷！

美哉，主耶穌！統治萬有群生！
主宰真神，道成肉身；
主，我所景仰！主，我所尊崇！
是我榮耀冠冕、歡欣！"
Hymn 22 - There Is a Fountain Dear,"There is a fountain dear,
With water sweet and clear.
Each day at morn I’m surely bless’d,
as by God’s stream I rest.
There, far from all life’s troubling ills,
with peaceful balm my soul He fills.

Jesus, the noblest friend,
Lovingly clasps my hands,
Each day with Him, so kind and sweet,
in earnest prayer I seek.
His words mean all the world to me,
like precious gold they’ll treasured be.

Armed with the Word of God,
Strong shall I ever be.
From evil’s might I’ll take no fright,
Thy Spirit strengthens me.
Thy Word is like a banner free,
that leads me on to heav’n and Thee.

Then face to face with Thee,
I see clear all my sins.
No secret thought lies unrevealed,
nor hidden sin concealed.
Refreshed and free I come to Thee,
Thou gentle man of Galilee.

Bless’d Jesus, may Thy Word
Fill me with life anew,
With prayerful heart I’ll worship Thee
and learn Thy ways to do.
And so through all my earthly days,
I’ll work for Thee and sing Thy praise.",第 22 首 - 讚美經訓,"我有寶貴泉源，其水最清、最甘，
清晨必喝，日日無間，
安坐活泉之旁，心未攙入俗事、貪婪，
傾聽泉水緩流潺潺。

我有高貴益友，日日相親携手，
清晨約會，同此善偶，
得祂諄諄善誘，惟願從祂金玉良言，
使我凡事謹慎、自守。

我有屬靈兵庫，仁義兵器無數，
每日在此練習靈戰，
攻克惡慾、俗務，終日佩戴雙刃寶劍，
打退惡魔，安行天路。

我有光華寶鏡，映照面目分明，
每日用此察看自己，必能顯露隱情，
映照之後，終日不忘，
除去污點，心靈清新。

如今祈求真神，使我充滿聖靈，
勤讀聖經，晨昏不停，更覺滋味津津，
靈性進步，欣欣向榮，
努力跟主，直到天庭。"
"Hymn 23 - Oh, that the Lord Would Guide My Ways","Oh, that the Lord would guide my ways, To keep His statutes still!
Oh, that my God would grant me peace To know and do His will!

Order my footsteps by Thy Word, And make my heart sincere;
Let sin have no dominion, Lord, But keep my conscience clear.

Assist my soul, too apt to stray, A stricter watch to keep;
And, should I e’er forget Thy way, Restore Thy wand’ring sheep.

Make me to walk in Thy commands; ’Tis a delightful road;
Nor let my lips, or heart, or hands Offend against my God.",第 23 首 - 聖經寶貴,"青年之人，何以持正？所行何以免罪？
惟主聖言，如玉如金，可使內心無愧。

救主之言，一入心中，即有感力無窮；
我雖不才，也可學通，靠著聖靈啟蒙。

聖經如日，高懸穹蒼，發出莫大亮光；
如燈在夜，照我輝煌，免遇危險、凶亡。

主訓使我真有聰明，恨惡犯罪言行；
攻克自己私慾、邪情，助我去惡歸正。

聖經寶貴，永久留存，篇篇都要敬尊；
男女、老少，終身遵守，必能保全靈魂。"
Hymn 24 - Wonderful Words of Life,"Sing them over again to me, Wonderful words of life;
Let me more of their beauty see, Wonderful words of life;
Words of life and beauty, Teach me faith and duty:

Christ, the blessed One, gives to all Wonderful words of life;
Sinner, list to the loving call, Wonderful words of life;
All so freely given, Wooing us to heaven:

Sweetly echo the gospel call, Wonderful words of life;
Offer pardon and peace to all, Wonderful words of life;
Jesus, only Saviour, Sanctify us forever,

REFRAIN
Beautiful words, wonderful words, Wonderful words of life;
Beautiful words, wonderful words, Wonderful words of life.",第 24 首 - 生命之道,"聖經乃是神言寶庫，證明耶穌基督，
道成肉身，釘於十架，流血洗我罪污。

真神應許盡在聖經，備及今世、來生；
是我產業，是我詩歌，是我暗處明燈。

真神言語滿有恩典，應許必都成全；
比金更寶，比蜜更甜，永遠安定在天。

我願天天查考聖經晝夜思想、遵行；
倚靠聖靈開導我心，使我識主更深。

副歌
生命之道極奇，我今篤信不疑，美哉，主道！
奇哉，真理！永世為我根基，美哉，主道！
奇哉，真理！永世為我根基。"
